,items,comp
504,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),-1.2633616924285889
18,Average precipitation in depth (mm per year),-1.1823174953460693
489,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",-1.0534496307373047
207,Imports of goods and services (% of GDP),-1.050243616104126
235,Net ODA received per capita (current US$),-1.0320658683776855
645,Firms with female participation in ownership (% of firms),-0.9967019557952881
119,"Foreign direct investment, net inflows (% of GDP)",-0.9787387251853943
1033,Income share held by lowest 10%,-0.9620990753173828
1149,"Tariff rate, most favored nation, simple mean, primary products (%)",-0.9527231454849243
917,Adequacy of social safety net programs (% of total welfare of beneficiary households),-0.9201128482818604
223,"Insurance and financial services (% of service exports, BoP)",-0.8917645215988159
1152,"Tariff rate, most favored nation, weighted mean, primary products (%)",-0.8881970643997192
240,"Net primary income (BoP, current US$)",-0.8822064399719238
243,Net primary income (Net income from abroad) (current US$),-0.8631663918495178
1146,"Tariff rate, applied, weighted mean, primary products (%)",-0.8626047372817993
378,Primary school starting age (years),-0.8521507978439331
1129,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),-0.8343449234962463
1138,"Share of tariff lines with specific rates, all products (%)",-0.8179963827133179
285,Trade in services (% of GDP),-0.8121639490127563
238,"Net financial account (BoP, current US$)",-0.7808991074562073
284,Trade (% of GDP),-0.7423252463340759
88,"Current account balance (BoP, current US$)",-0.7360321283340454
1034,Income share held by lowest 20%,-0.7294398546218872
254,"Personal remittances, received (% of GDP)",-0.7270277738571167
564,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",-0.7247720956802368
5,"Agricultural machinery, tractors per 100 sq. km of arable land",-0.7239420413970947
466,Firms using banks to finance investment (% of firms),-0.7148162722587585
550,Population living in areas where elevation is below 5 meters (% of total population),-0.7143433094024658
1140,"Share of tariff lines with specific rates, primary products (%)",-0.7079207301139832
1128,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),-0.6819120645523071
179,"Gross fixed capital formation, private sector (% of GDP)",-0.6739969253540039
563,Urban population living in areas where elevation is below 5 meters (% of total population),-0.6628819704055786
415,"Secondary education, duration (years)",-0.6407759189605713
459,"Electricity production from renewable sources, excluding hydroelectric (% of total)",-0.631963849067688
65,Adjusted savings: mineral depletion (% of GNI),-0.627295732498169
1162,Population density (people per sq. km of land area),-0.6266310214996338
1084,Insurance and financial services (% of commercial service exports),-0.6194700598716736
742,Exclusive breastfeeding (% of children under 6 months),-0.6161057949066162
173,Gross fixed capital formation (% of GDP),-0.6156278848648071
938,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",-0.6066807508468628
1139,"Share of tariff lines with specific rates, manufactured products (%)",-0.597016453742981
402,"School enrollment, primary, private (% of total primary)",-0.5868383646011353
501,CO2 emissions from liquid fuel consumption (% of total),-0.5830621719360352
428,"Trained teachers in lower secondary education, male (% of male teachers)",-0.580395519733429
716,"Community health workers (per 1,000 people)",-0.57131028175354
770,Newborns protected against tetanus (%),-0.5473698377609253
60,Adjusted savings: education expenditure (% of GNI),-0.5239793062210083
94,Exports of goods and services (% of GDP),-0.5224080681800842
939,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",-0.518254280090332
1144,"Tariff rate, applied, weighted mean, all products (%)",-0.5153597593307495
943,"Children in employment, work only (% of children in employment, ages 7-14)",-0.5134199857711792
665,"Part time employment, female (% of total female employment)",-0.509977400302887
1150,"Tariff rate, most favored nation, weighted mean, all products (%)",-0.5087496638298035
1110,Merchandise exports to economies in the Arab World (% of total merchandise exports),-0.5082077383995056
937,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",-0.5018731355667114
10,Agricultural raw materials exports (% of merchandise exports),-0.501624584197998
1049,High-technology exports (% of manufactured exports),-0.49964606761932373
258,"Portfolio investment, net (BoP, current US$)",-0.4924071431159973
1,Agricultural irrigated land (% of total agricultural land),-0.4906121790409088
1143,"Tariff rate, applied, simple mean, primary products (%)",-0.48919230699539185
840,"Population, male (% of total)",-0.4856891930103302
566,Bank capital to assets ratio (%),-0.48443084955215454
561,Urban land area where elevation is below 5 meters (% of total land area),-0.4747530221939087
870,Sex ratio at birth (male births per female births),-0.47468507289886475
632,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",-0.47264134883880615
599,"Official exchange rate (LCU per US$, period average)",-0.4707985520362854
1123,Merchandise imports from economies in the Arab World (% of total merchandise imports),-0.46549296379089355
482,Pump price for gasoline (US$ per liter),-0.4509308338165283
944,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-0.4463086426258087
440,"Trained teachers in upper secondary education, male (% of male teachers)",-0.44610583782196045
163,Gross capital formation (% of GDP),-0.44559359550476074
427,"Trained teachers in lower secondary education, female (% of female teachers)",-0.4447672367095947
1119,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),-0.4412580132484436
426,Trained teachers in lower secondary education (% of total teachers),-0.43442264199256897
516,Land area where elevation is below 5 meters (% of total land area),-0.43192631006240845
1112,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),-0.42915841937065125
859,"Prevalence of wasting, weight for height, female (% of children under 5)",-0.42633622884750366
68,Adjusted savings: net forest depletion (% of GNI),-0.42302703857421875
882,Unmet need for contraception (% of married women ages 15-49),-0.421569287776947
1036,Income share held by third 20%,-0.42000311613082886
410,"School enrollment, secondary, private (% of total secondary)",-0.4185536503791809
746,Female genital mutilation prevalence (%),-0.41757214069366455
893,ICT goods exports (% of total goods exports),-0.4156422019004822
476,Nitrous oxide emissions in energy sector (% of total),-0.41310960054397583
697,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),-0.4062727689743042
1137,"Share of tariff lines with international peaks, primary products (%)",-0.40124446153640747
209,Imports of goods and services (annual % growth),-0.40045076608657837
1083,Import volume index (2000 = 100),-0.39572209119796753
1035,Income share held by second 20%,-0.3954530358314514
851,"Prevalence of severe wasting, weight for height, female (% of children under 5)",-0.3939066231250763
469,Fuel imports (% of merchandise imports),-0.38581064343452454
1147,"Tariff rate, most favored nation, simple mean, all products (%)",-0.38119709491729736
249,"Net trade in goods and services (BoP, current US$)",-0.38027939200401306
722,Completeness of death registration with cause-of-death information (%),-0.38023364543914795
860,"Prevalence of wasting, weight for height, male (% of children under 5)",-0.3801482021808624
40,Rural population living in areas where elevation is below 5 meters (% of total population),-0.37770408391952515
248,"Net trade in goods (BoP, current US$)",-0.37745922803878784
121,"Foreign direct investment, net outflows (% of GDP)",-0.37621551752090454
263,"Reserves and related items (BoP, current US$)",-0.37165480852127075
736,Domestic general government health expenditure (% of general government expenditure),-0.3675616383552551
928,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),-0.3647087812423706
852,"Prevalence of severe wasting, weight for height, male (% of children under 5)",-0.36289387941360474
749,"Immunization, HepB3 (% of one-year-old children)",-0.362436443567276
457,Electricity production from oil sources (% of total),-0.36168599128723145
732,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),-0.3602721691131592
971,"Employment to population ratio, ages 15-24, female (%) (national estimate)",-0.3602651059627533
1124,Merchandise imports from high-income economies (% of total merchandise imports),-0.359828382730484
858,"Prevalence of wasting, weight for height (% of children under 5)",-0.35613805055618286
594,Market capitalization of listed domestic companies (% of GDP),-0.3560665547847748
