,items,comp
489,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",-1.347379446029663
611,Total reserves (% of total external debt),-0.993179976940155
1019,"Unemployment, male (% of male labor force) (national estimate)",-0.9780253171920776
1092,"International tourism, receipts (% of total exports)",-0.9520879983901978
880,Tuberculosis treatment success rate (% of new cases),-0.9317165613174438
1020,"Unemployment, total (% of total labor force) (national estimate)",-0.9260993003845215
917,Adequacy of social safety net programs (% of total welfare of beneficiary households),-0.9105916023254395
1017,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",-0.8741223812103271
106,External debt stocks (% of GNI),-0.8020498752593994
669,"Prevalence of HIV, male (% ages 15-24)",-0.7942135334014893
443,"Unemployment, total (% of total labor force) (modeled ILO estimate)",-0.749286413192749
629,"Condom use, population ages 15-24, male (% of males ages 15-24)",-0.6943844556808472
842,"Prevalence of HIV, total (% of population ages 15-49)",-0.681058406829834
1127,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),-0.663416862487793
744,External health expenditure per capita (current US$),-0.6613301634788513
25,Fertilizer consumption (% of fertilizer production),-0.6611337661743164
454,Electricity production from hydroelectric sources (% of total),-0.6550086736679077
441,"Unemployment, female (% of female labor force) (modeled ILO estimate)",-0.6545606851577759
848,"Prevalence of overweight, weight for height, female (% of children under 5)",-0.653675377368927
643,Female headed households (% of households with a female head),-0.6457728147506714
442,"Unemployment, male (% of male labor force) (modeled ILO estimate)",-0.6440002918243408
1074,"Cost to export, documentary compliance (US$)",-0.6388117074966431
1012,Unemployment with basic education (% of total labor force with basic education),-0.6373796463012695
236,"Net capital account (BoP, current US$)",-0.6367261409759521
1086,"International tourism, expenditures (% of total imports)",-0.6337662935256958
86,"Communications, computer, etc. (% of service imports, BoP)",-0.6250958442687988
369,"Preprimary education, duration (years)",-0.622538685798645
994,"Labor force with advanced education, female (% of female working-age population with advanced education)",-0.622239351272583
1072,"Computer, communications and other services (% of commercial service imports)",-0.6190619468688965
760,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",-0.6149382591247559
373,"Primary education, duration (years)",-0.6139171123504639
668,"Prevalence of HIV, female (% ages 15-24)",-0.6083480715751648
1007,"Share of youth not in education, employment or training, male (% of male youth population)",-0.6026729345321655
1111,Merchandise exports to high-income economies (% of total merchandise exports),-0.6023378372192383
16,Arable land (hectares per person),-0.5960863828659058
508,CO2 intensity (kg per kg of oil equivalent energy use),-0.595023512840271
751,Incidence of HIV (% of uninfected population ages 15-49),-0.5882158279418945
1013,"Unemployment with basic education, female (% of female labor force with basic education)",-0.5868452787399292
446,Alternative and nuclear energy (% of total energy use),-0.5841525793075562
708,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),-0.5829696655273438
28,Forest area (% of land area),-0.5817357301712036
1139,"Share of tariff lines with specific rates, manufactured products (%)",-0.5809727907180786
305,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",-0.5794760584831238
479,Ores and metals exports (% of merchandise exports),-0.5781337022781372
847,"Prevalence of overweight, weight for height (% of children under 5)",-0.5653116703033447
574,Claims on central government (annual growth as % of broad money),-0.5648791193962097
993,Labor force with advanced education (% of total working-age population with advanced education),-0.5531526803970337
849,"Prevalence of overweight, weight for height, male (% of children under 5)",-0.5494793653488159
470,GDP per unit of energy use (PPP $ per kg of oil equivalent),-0.5478082895278931
33,Permanent cropland (% of land area),-0.5458205938339233
589,"Interest rate spread (lending rate minus deposit rate, %)",-0.5458072423934937
163,Gross capital formation (% of GDP),-0.5372854471206665
237,"Net errors and omissions (BoP, current US$)",-0.525968074798584
471,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),-0.5246991515159607
1080,Food exports (% of merchandise exports),-0.522580623626709
313,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",-0.5213655829429626
