,items,comp
552,Renewable internal freshwater resources per capita (cubic meters),-2.0260813236236572
1132,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),-1.2080742120742798
1027,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-1.176511287689209
1127,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),-1.0159931182861328
1164,Population in the largest city (% of urban population),-0.8351993560791016
599,"Official exchange rate (LCU per US$, period average)",-0.8065614700317383
1125,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),-0.7819269299507141
1086,"International tourism, expenditures (% of total imports)",-0.7745001912117004
400,"School enrollment, primary, male (% gross)",-0.6951971650123596
237,"Net errors and omissions (BoP, current US$)",-0.6673529744148254
611,Total reserves (% of total external debt),-0.6625973582267761
725,Consumption of iodized salt (% of households),-0.6517462730407715
932,"Children in employment, self-employed (% of children in employment, ages 7-14)",-0.6484097242355347
188,Gross savings (% of GNI),-0.6481345891952515
957,Coverage of social safety net programs in richest quintile (% of population),-0.639916181564331
1080,Food exports (% of merchandise exports),-0.6207097768783569
933,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",-0.6205523014068604
531,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",-0.6187088489532471
991,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",-0.5973316431045532
427,"Trained teachers in lower secondary education, female (% of female teachers)",-0.5972442030906677
917,Adequacy of social safety net programs (% of total welfare of beneficiary households),-0.5822205543518066
87,Current account balance (% of GDP),-0.5784192085266113
25,Fertilizer consumption (% of fertilizer production),-0.5766501426696777
1007,"Share of youth not in education, employment or training, male (% of male youth population)",-0.5764166712760925
187,Gross savings (% of GDP),-0.566816508769989
955,Coverage of social safety net programs in 4th quintile (% of population),-0.5639654994010925
62,Adjusted savings: energy depletion (% of GNI),-0.5636399984359741
566,Bank capital to assets ratio (%),-0.5628763437271118
478,Oil rents (% of GDP),-0.5593266487121582
711,"Cause of death, by injury (% of total)",-0.5570193529129028
173,Gross fixed capital formation (% of GDP),-0.5401115417480469
434,"Trained teachers in primary education, male (% of male teachers)",-0.5381441116333008
986,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",-0.5319690108299255
163,Gross capital formation (% of GDP),-0.5301510095596313
556,Terrestrial protected areas (% of total land area),-0.5208656787872314
433,"Trained teachers in primary education, female (% of female teachers)",-0.5116093754768372
1031,Income share held by highest 10%,-0.5083742141723633
954,Coverage of social safety net programs in 3rd quintile (% of population),-0.5077798962593079
934,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",-0.5062483549118042
1083,Import volume index (2000 = 100),-0.5060291886329651
1119,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),-0.5007001161575317
65,Adjusted savings: mineral depletion (% of GNI),-0.48956871032714844
428,"Trained teachers in lower secondary education, male (% of male teachers)",-0.4828457534313202
335,"Government expenditure on education, total (% of government expenditure)",-0.4631952941417694
502,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),-0.45978593826293945
610,Strength of legal rights index (0=weak to 12=strong),-0.4517628252506256
338,"Government expenditure per student, tertiary (% of GDP per capita)",-0.44591856002807617
369,"Preprimary education, duration (years)",-0.4438974857330322
27,Food production index (2004-2006 = 100),-0.4432145655155182
286,"Transport services (% of service exports, BoP)",-0.43823933601379395
1074,"Cost to export, documentary compliance (US$)",-0.43789684772491455
432,Trained teachers in primary education (% of total teachers),-0.43601661920547485
970,"Employment to population ratio, 15+, total (%) (national estimate)",-0.4353194832801819
952,Coverage of social safety net programs (% of population),-0.4312979280948639
179,"Gross fixed capital formation, private sector (% of GDP)",-0.43038031458854675
415,"Secondary education, duration (years)",-0.4295957088470459
651,Law mandates paid or unpaid maternity leave (1=yes; 0=no),-0.4265083074569702
470,GDP per unit of energy use (PPP $ per kg of oil equivalent),-0.42584896087646484
450,Delay in obtaining an electrical connection (days),-0.42437320947647095
394,"School enrollment, primary (% gross)",-0.4224170446395874
264,"Revenue, excluding grants (% of GDP)",-0.41451317071914673
953,Coverage of social safety net programs in 2nd quintile (% of population),-0.4030228853225708
1029,GINI index (World Bank estimate),-0.40027156472206116
457,Electricity production from oil sources (% of total),-0.4001966714859009
339,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",-0.3976493775844574
471,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),-0.3975272476673126
1096,"Lead time to export, median case (days)",-0.39682430028915405
215,"Industry (including construction), value added (% of GDP)",-0.39619266986846924
468,Fuel exports (% of merchandise exports),-0.3940688967704773
867,Refugee population by country or territory of origin,-0.39130163192749023
426,Trained teachers in lower secondary education (% of total teachers),-0.3906211853027344
1032,Income share held by highest 20%,-0.3870036005973816
589,"Interest rate spread (lending rate minus deposit rate, %)",-0.3836996555328369
664,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),-0.37909895181655884
1004,Ratio of female to male labor force participation rate (%) (national estimate),-0.37904325127601624
162,"Grants, excluding technical cooperation (BoP, current US$)",-0.3730825185775757
102,External balance on goods and services (% of GDP),-0.37242409586906433
436,"Trained teachers in secondary education, female (% of female teachers)",-0.37237924337387085
341,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.3648664951324463
1123,Merchandise imports from economies in the Arab World (% of total merchandise imports),-0.3642265200614929
633,"Employers, female (% of female employment) (modeled ILO estimate)",-0.3573251962661743
439,"Trained teachers in upper secondary education, female (% of female teachers)",-0.35257482528686523
1166,Population in urban agglomerations of more than 1 million (% of total population),-0.3490752875804901
170,Gross domestic savings (% of GDP),-0.3431275486946106
988,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",-0.3386412560939789
398,"School enrollment, primary, female (% gross)",-0.33580636978149414
474,Mineral rents (% of GDP),-0.334902286529541
629,"Condom use, population ages 15-24, male (% of males ages 15-24)",-0.3293027877807617
78,"Central government debt, total (% of GDP)",-0.32923007011413574
166,Gross capital formation (constant LCU),-0.3291650414466858
558,Total greenhouse gas emissions (% change from 1990),-0.3274744749069214
961,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),-0.3264427185058594
708,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),-0.32509520649909973
280,Total debt service (% of GNI),-0.3250125050544739
431,"Trained teachers in preprimary education, male (% of male teachers)",-0.32343581318855286
340,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",-0.3210022449493408
130,GDP per capita (constant LCU),-0.31969454884529114
1131,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),-0.31864386796951294
21,Crop production index (2004-2006 = 100),-0.3180953860282898
274,Taxes less subsidies on products (constant LCU),-0.31742048263549805
956,Coverage of social safety net programs in poorest quintile (% of population),-0.3171810805797577
1116,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),-0.31250596046447754
602,Public credit registry coverage (% of adults),-0.3110615015029907
967,"Employment to population ratio, 15+, female (%) (national estimate)",-0.30792948603630066
1154,"Time to export, border compliance (hours)",-0.3077986240386963
410,"School enrollment, secondary, private (% of total secondary)",-0.30536937713623047
1082,Import value index (2000 = 100),-0.30377689003944397
14,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",-0.2973821759223938
731,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),-0.29336851835250854
437,"Trained teachers in secondary education, male (% of male teachers)",-0.2926550507545471
590,International migrant stock (% of population),-0.28833794593811035
145,GNI per capita (constant LCU),-0.28821730613708496
275,Taxes less subsidies on products (current LCU),-0.2853100001811981
757,"Mortality caused by road traffic injury (per 100,000 people)",-0.28428709506988525
1113,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),-0.2813512086868286
805,"Population ages 25-29, male (% of male population)",-0.27776020765304565
440,"Trained teachers in upper secondary education, male (% of male teachers)",-0.2776802182197571
884,Vitamin A supplementation coverage rate (% of children ages 6-59 months),-0.27757811546325684
1158,Transport services (% of commercial service exports),-0.27564743161201477
866,Refugee population by country or territory of asylum,-0.2748820185661316
458,"Electricity production from oil, gas and coal sources (% of total)",-0.27001526951789856
662,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),-0.2692359983921051
550,Population living in areas where elevation is below 5 meters (% of total population),-0.2681524455547333
146,GNI per capita (current LCU),-0.26695793867111206
64,Adjusted savings: gross savings (% of GNI),-0.262995183467865
94,Exports of goods and services (% of GDP),-0.26271605491638184
244,"Net secondary income (BoP, current US$)",-0.25708457827568054
131,GDP per capita (current LCU),-0.2564340829849243
10,Agricultural raw materials exports (% of merchandise exports),-0.2554757595062256
527,Other greenhouse gas emissions (% change from 1990),-0.25059378147125244
245,Net secondary income (Net current transfers from abroad) (constant LCU),-0.25052422285079956
672,Proportion of seats held by women in national parliaments (%),-0.25005659461021423
1112,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),-0.2482011616230011
205,"ICT service exports (% of service exports, BoP)",-0.24711176753044128
247,Net secondary income (Net current transfers from abroad) (current US$),-0.24532924592494965
310,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",-0.24465513229370117
544,People using safely managed sanitation services (% of population),-0.24429810047149658
1073,"Cost to export, border compliance (US$)",-0.24356909096240997
239,Net official development assistance received (current US$),-0.24331752955913544
726,"Contraceptive prevalence, modern methods (% of women ages 15-49)",-0.2412036657333374
749,"Immunization, HepB3 (% of one-year-old children)",-0.23575079441070557
389,"Repeaters, primary, male (% of male enrollment)",-0.2328435480594635
32,Livestock production index (2004-2006 = 100),-0.23255428671836853
