,items,comp
28,Forest area (% of land area),-1.627359390258789
1027,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-1.4600247144699097
610,Strength of legal rights index (0=weak to 12=strong),-1.1471872329711914
1132,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),-1.10642409324646
514,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),-1.0950360298156738
970,"Employment to population ratio, 15+, total (%) (national estimate)",-1.0327059030532837
1153,Taxes on exports (% of tax revenue),-0.9672250151634216
645,Firms with female participation in ownership (% of firms),-0.9155136346817017
991,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",-0.8918602466583252
74,"Agriculture, forestry, and fishing, value added (annual % growth)",-0.8835219740867615
968,"Employment to population ratio, 15+, male (%) (national estimate)",-0.8833049535751343
155,General government final consumption expenditure (annual % growth),-0.8739218711853027
424,"Secondary education, vocational pupils (% female)",-0.8604339361190796
589,"Interest rate spread (lending rate minus deposit rate, %)",-0.8576205968856812
25,Fertilizer consumption (% of fertilizer production),-0.8441250324249268
633,"Employers, female (% of female employment) (modeled ILO estimate)",-0.8401988744735718
21,Crop production index (2004-2006 = 100),-0.8293372392654419
967,"Employment to population ratio, 15+, female (%) (national estimate)",-0.820978045463562
880,Tuberculosis treatment success rate (% of new cases),-0.8136857748031616
993,Labor force with advanced education (% of total working-age population with advanced education),-0.8076746463775635
510,Coal rents (% of GDP),-0.798554003238678
475,Natural gas rents (% of GDP),-0.7967185974121094
1114,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),-0.7822072505950928
1000,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",-0.7674906253814697
986,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",-0.7508230805397034
1112,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),-0.7260597944259644
469,Fuel imports (% of merchandise imports),-0.7196109890937805
459,"Electricity production from renewable sources, excluding hydroelectric (% of total)",-0.695263147354126
39,Rural population growth (annual %),-0.6913187503814697
577,Claims on other sectors of the domestic economy (annual growth as % of broad money),-0.6775856614112854
555,Terrestrial and marine protected areas (% of total territorial area),-0.6717729568481445
999,Labor force with intermediate education (% of total working-age population with intermediate education),-0.6709578037261963
335,"Government expenditure on education, total (% of government expenditure)",-0.669389009475708
236,"Net capital account (BoP, current US$)",-0.6682772636413574
980,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",-0.6602237820625305
722,Completeness of death registration with cause-of-death information (%),-0.657369077205658
641,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",-0.6568180322647095
1003,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),-0.6502490043640137
69,Adjusted savings: net forest depletion (current US$),-0.6440286636352539
342,"Labor force, female (% of total labor force)",-0.6439229846000671
1127,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),-0.6377226114273071
110,Final consumption expenditure (annual % growth),-0.6348233222961426
1125,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),-0.6335167288780212
988,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",-0.6319698095321655
465,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",-0.6315923929214478
1004,Ratio of female to male labor force participation rate (%) (national estimate),-0.6281642913818359
875,"Suicide mortality rate, male (per 100,000 male population)",-0.6267737150192261
502,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),-0.6199436187744141
971,"Employment to population ratio, ages 15-24, female (%) (national estimate)",-0.6198673248291016
974,"Employment to population ratio, ages 15-24, total (%) (national estimate)",-0.6184515953063965
994,"Labor force with advanced education, female (% of female working-age population with advanced education)",-0.6177202463150024
611,Total reserves (% of total external debt),-0.6175328493118286
479,Ores and metals exports (% of merchandise exports),-0.6166503429412842
981,"Labor force participation rate for ages 15-24, female (%) (national estimate)",-0.6144026517868042
